Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
Rocco Reitz,GER,MF,M'Gladbach,Bundesliga,20,1,0,0,0,,0,0,0,,0,0,1
Alejandro Revuelta Montero,ESP,DF,Getafe,La Liga,22,1,0,0,0,,0,0,0,,0,0,1
Gio Reyna,USA,FWMF,Dortmund,Bundesliga,20,14,5,225,174,77.33,0,13,2,15.38,4,5,1
Chadi Riad,ESP,MF,Barcelona,La Liga,19,1,0,0,0,,0,0,0,,0,0,1
Nico Ribaudo,ESP,FWMF,Espanyol,La Liga,21,14,0,122,94,77.05,0,5,0,0.0,5,5,1
Alexsandro Ribeiro,BRA,DF,Lille,Ligue 1,23,8,1,328,297,90.55,0,1,0,0.0,7,4,1
Samuele Ricci,ITA,MF,Torino,Serie A,21,15,1,700,621,88.71,1,9,1,11.11,7,5,0
Chris Richards,USA,DF,Crystal Palace,Premier League,22,7,0,136,112,82.35,0,0,0,,5,9,1
Rodrigo Riquelme,ESP,MFFW,Girona,La Liga,22,20,3,393,275,69.97,1,34,4,11.76,1,5,1
Joel Roca,ESP,MFFW,Girona,La Liga,17,4,0,33,24,72.73,0,0,0,,2,0,1
Rodrigo,ESP,FWMF,Betis,La Liga,22,16,2,454,387,85.24,1,22,2,9.09,7,0,0
Pablo Rodríguez,ESP,FWMF,Lecce,Serie A,21,4,0,21,14,66.67,0,4,0,0.0,1,0,1
Rodrygo,BRA,FW,Real Madrid,La Liga,22,18,4,484,419,86.57,5,12,2,16.67,6,10,0
Mads Roerslev,DEN,DF,Brentford,Premier League,23,14,0,253,163,64.43,0,18,4,22.22,10,7,1
Iván Romero,ESP,MF,Sevilla,La Liga,21,1,0,4,1,25.0,0,0,0,,0,1,1
Luka Romero,ARG,FW,Lazio,Serie A,18,5,1,74,64,86.49,0,0,0,,0,2,1
Tom Rothe,GER,DF,Dortmund,Bundesliga,18,1,0,9,7,77.78,0,2,0,0.0,1,0,1
Anthony Rouault,FRA,DF,Toulouse,Ligue 1,21,22,2,1203,1041,86.53,1,0,0,,25,60,0
Nicolò Rovella,ITA,MF,Monza,Serie A,21,12,0,750,662,88.27,0,17,2,11.76,15,4,0
Nicolò Rovella,ITA,MF,Juventus,Serie A,21,3,0,25,22,88.0,0,3,0,0.0,1,0,1
Ruan,BRA,DF,Sassuolo,Serie A,23,8,0,257,218,84.82,0,0,0,,12,18,1
Rubén,ESP,DFMF,Espanyol,La Liga,22,9,0,128,87,67.97,1,18,0,0.0,7,7,1
Matteo Ruggeri,ITA,DFMF,Atalanta,Serie A,20,10,0,325,262,80.62,0,20,4,20.0,7,9,1
Kays Ruiz,MAR,MF,Auxerre,Ligue 1,20,1,0,29,26,89.66,0,0,0,,1,0,1
Georginio Rutter,FRA,FW,Leeds United,Premier League,20,2,0,8,3,37.5,0,0,0,,1,3,1
Georginio Rutter,FRA,FW,Hoffenheim,Bundesliga,20,15,2,158,95,60.13,2,11,0,0.0,4,9,1
Halid abanovi?,BIH,DFFW,Angers,Ligue 1,23,5,0,142,116,81.69,0,3,1,33.33,2,3,1
Alexis Saelemaekers,BEL,FWDF,Milan,Serie A,23,14,0,282,213,75.53,1,21,6,28.57,13,7,1
Bukayo Saka,ENG,FW,Arsenal,Premier League,21,21,7,790,608,76.96,8,90,9,10.0,15,6,0
Ibrahim Salah,BEL,MF,Rennes,Ligue 1,21,1,0,2,2,100.0,0,0,0,,0,0,1
Amine Salama,FRA,FWMF,Angers,Ligue 1,22,20,3,262,191,72.9,1,8,1,12.5,7,8,1
William Saliba,FRA,DF,Arsenal,Premier League,21,21,2,1350,1238,91.7,1,1,0,0.0,14,37,0
Dikeni Salifou,TOG,MF,Werder Bremen,Bundesliga,19,1,0,0,0,,0,0,0,,0,0,1
Mohammed Salisu,GHA,DF,Southampton,Premier League,23,21,0,1154,848,73.48,1,13,4,30.77,28,54,0
Lazar Samardzic,GER,MF,Udinese,Serie A,20,20,4,426,341,80.05,1,48,2,4.17,8,5,0
Albert Sambi Lokonga,BEL,MF,Arsenal,Premier League,23,6,0,140,132,94.29,0,0,0,,1,3,1
Albert Sambi Lokonga,BEL,MF,Crystal Palace,Premier League,23,2,0,42,35,83.33,0,0,0,,2,1,1
Samuel,BRA,FWMF,Valencia,La Liga,23,21,2,706,540,76.49,0,51,5,9.8,24,13,0
Leandro Sanca,POR,FWMF,Spezia,Serie A,23,4,0,11,8,72.73,0,2,0,0.0,1,0,1
Oihan Sancet,ESP,MF,Athletic Club,La Liga,22,21,8,541,448,82.81,0,6,0,0.0,8,13,0
Manuel Sánchez,ESP,DF,Osasuna,La Liga,22,15,0,424,336,79.25,1,35,7,20.0,17,7,0
Jadon Sancho,ENG,FW,Manchester Utd,Premier League,22,11,3,322,264,81.99,1,9,0,0.0,3,2,1
Sidi Sané,GER,FW,Schalke 04,Bundesliga,19,1,0,6,6,100.0,0,0,0,,1,0,1
Muhammed Saracevic Cham,AUT,MF,Clermont Foot,Ligue 1,22,23,4,628,493,78.5,2,45,1,2.22,10,3,0
Jeremy Sarmiento,ECU,MF,Brighton,Premier League,20,7,0,60,47,78.33,1,3,1,33.33,3,0,1
Amin Sarr,SWE,FWMF,Lyon,Ligue 1,21,2,0,8,5,62.5,0,0,0,,0,2,1
Martin Satriano,URU,FW,Empoli,Serie A,21,20,1,282,194,68.79,1,13,1,7.69,6,32,1
Joe Scally,USA,DF,M'Gladbach,Bundesliga,20,18,0,776,611,78.74,0,25,6,24.0,14,11,0
Giorgio Scalvini,ITA,DF,Atalanta,Serie A,19,18,2,773,614,79.43,0,6,2,33.33,19,21,0
Kevin Schade,GER,FWMF,Brentford,Premier League,21,3,0,9,5,55.56,0,0,0,,0,2,1
Kevin Schade,GER,FWMF,Freiburg,Bundesliga,21,8,1,56,26,46.43,0,3,0,0.0,4,17,1
András Schäfer,HUN,MF,Union Berlin,Bundesliga,23,13,0,225,164,72.89,0,7,1,14.29,8,9,1
Derry Scherhant,GER,FW,Hertha BSC,Bundesliga,20,5,0,23,16,69.57,0,2,0,0.0,2,0,1
Nico Schlotterbeck,GER,DF,Dortmund,Bundesliga,23,20,3,1457,1245,85.45,4,10,0,0.0,27,48,0
Romano Schmid,AUT,MF,Werder Bremen,Bundesliga,23,15,0,468,347,74.15,2,12,2,16.67,13,8,0
Perr Schuurs,NED,DF,Torino,Serie A,23,16,0,571,491,85.99,2,1,0,0.0,14,33,0
Demba Seck,SEN,FWMF,Torino,Serie A,22,10,0,110,81,73.64,0,5,0,0.0,2,2,1
Alidu Seidu,GHA,DF,Clermont Foot,Ligue 1,22,20,0,951,804,84.54,0,18,6,33.33,23,14,0
Vivaldo Semedo,POR,FW,Udinese,Serie A,18,1,0,0,0,,0,0,0,,0,0,1
Antoine Semenyo,GHA,FWMF,Bournemouth,Premier League,23,2,0,19,11,57.89,0,1,0,0.0,0,4,1
Marvin Senaya,TOG,DF,Strasbourg,Ligue 1,22,1,0,5,4,80.0,0,1,0,0.0,0,1,1
Ryan Sessegnon,ENG,DF,Tottenham,Premier League,22,17,2,391,281,71.87,0,30,3,10.0,11,10,1
Kiliann Sildillia,FRA,DFMF,Freiburg,Bundesliga,20,18,0,780,556,71.28,2,19,3,15.79,15,30,0
Abdallah Sima,SEN,FW,Angers,Ligue 1,21,18,2,183,131,71.58,0,9,1,11.11,5,29,1
Mohamed Simakan,FRA,DF,RB Leipzig,Bundesliga,22,12,1,675,563,83.41,1,4,1,25.0,8,16,0
Ellis Simms,ENG,FW,Everton,Premier League,22,2,0,4,3,75.0,0,0,0,,0,1,1
Eduardo Simões,POR,DF,Hoffenheim,Bundesliga,20,4,0,66,59,89.39,0,0,0,,3,1,1
Lassine Sinayoko,MLI,MFFW,Auxerre,Ligue 1,23,21,0,430,317,73.72,2,27,6,22.22,14,14,1
Wilfried Singo,CIV,DF,Torino,Serie A,22,16,0,622,466,74.92,1,25,4,16.0,10,25,0
Luis Sinisterra,COL,FW,Leeds United,Premier League,23,12,2,219,180,82.19,0,4,1,25.0,9,10,1
Hugo Siquet,BEL,DF,Freiburg,Bundesliga,20,2,0,7,5,71.43,0,0,0,,2,0,1
Oliver Skipp,ENG,MF,Tottenham,Premier League,22,8,0,100,78,78.0,0,8,1,12.5,2,1,1
Leo Skiri Østigård,NOR,DF,Napoli,Serie A,23,4,0,197,167,84.77,0,0,0,,0,19,1
Naatan Skyttä,FIN,MF,Toulouse,Ligue 1,20,2,0,9,6,66.67,0,0,0,,0,0,1
Emile Smith Rowe,ENG,MFFW,Arsenal,Premier League,22,5,0,21,18,85.71,0,2,0,0.0,1,0,1
Hrvoje Smol?i?,CRO,DF,Eint Frankfurt,Bundesliga,22,7,0,201,158,78.61,0,0,0,,6,19,1
Alex Sola,ESP,DF,Real Sociedad,La Liga,23,5,0,149,118,79.19,0,6,0,0.0,8,6,1
Nikola Soldo,CRO,DF,Köln,Bundesliga,22,6,0,287,220,76.66,0,1,0,0.0,6,7,1
Manor Solomon,ISR,FW,Fulham,Premier League,23,5,1,22,18,81.82,0,0,0,,1,2,1
Brandon Soppy,FRA,DF,Udinese,Serie A,20,1,0,32,22,68.75,0,1,0,0.0,1,1,1
Brandon Soppy,FRA,DF,Atalanta,Serie A,20,10,0,248,191,77.02,3,12,2,16.67,3,2,1
Joaquin Sosa,URU,DF,Bologna,Serie A,21,5,0,129,99,76.74,0,0,0,,1,5,1
Riccardo Sottil,ITA,FW,Fiorentina,Serie A,23,7,0,157,127,80.89,2,20,1,5.0,0,2,1
Matìas Soulé,ARG,MFDF,Juventus,Serie A,19,9,0,113,93,82.3,0,6,1,16.67,3,2,1
Moussa Soumano,FRA,MFFW,Ajaccio,Ligue 1,17,2,1,3,1,33.33,0,0,0,,0,0,1
Boubakary Soumaré,FRA,MF,Leicester City,Premier League,23,14,0,500,444,88.8,0,1,0,0.0,23,9,0
Vinicius Souza,BRA,MF,Espanyol,La Liga,23,18,0,557,450,80.79,0,3,1,33.33,43,42,0
Djed Spence,ENG,FWDF,Tottenham,Premier League,22,4,0,7,4,57.14,0,0,0,,0,1,1
Djed Spence,ENG,DF,Rennes,Ligue 1,22,1,0,40,33,82.5,0,1,0,0.0,0,1,1
Josip Stanii?,CRO,DF,Bayern Munich,Bundesliga,22,8,0,240,214,89.17,0,5,2,40.0,6,2,1
Jay Stansfield,ENG,FW,Fulham,Premier League,20,3,0,22,9,40.91,0,3,0,0.0,0,0,1
Angelo Stiller,GER,MF,Hoffenheim,Bundesliga,21,13,0,235,178,75.74,1,5,0,0.0,8,10,1
Jørgen Strand Larsen,NOR,FW,Celta Vigo,La Liga,23,16,2,197,133,67.51,3,0,0,,5,28,1
Dávid Strelec,SVK,FW,Spezia,Serie A,21,7,0,42,25,59.52,0,0,0,,2,5,1
Pascal Struijk,NED,DF,Leeds United,Premier League,23,20,2,1071,846,78.99,1,17,3,17.65,44,44,0
Ibrahim Sulemana,GHA,MF,Hellas Verona,Serie A,19,11,0,102,73,71.57,0,2,1,50.0,7,6,1
Kamaldeen Sulemana,GHA,FWMF,Southampton,Premier League,20,2,0,47,31,65.96,0,1,0,0.0,0,1,1
Kamaldeen Sulemana,GHA,FWMF,Rennes,Ligue 1,20,14,1,156,128,82.05,0,10,2,20.0,3,4,1
Crysencio Summerville,NED,FW,Leeds United,Premier League,21,14,4,225,168,74.67,1,9,2,22.22,11,3,1
Williot Swedberg,SWE,MF,Celta Vigo,La Liga,19,1,0,11,10,90.91,0,0,0,,0,0,1
Dominik Szoboszlai,HUN,MFFW,RB Leipzig,Bundesliga,22,18,3,834,664,79.62,8,59,2,3.39,17,4,0
Benjamin Tahirovic,SWE,MF,Roma,Serie A,19,5,0,65,57,87.69,0,3,1,33.33,2,2,1
Waniss Taibi,FRA,MF,Angers,Ligue 1,20,9,0,137,121,88.32,1,1,0,0.0,4,2,1
Japhet Tanganga,ENG,DF,Tottenham,Premier League,23,2,0,85,76,89.41,0,1,1,100.0,2,5,1
Niklas Tauer,GER,DFMF,Mainz 05,Bundesliga,21,3,0,58,52,89.66,0,1,1,100.0,1,2,1
Nuno Tavares,POR,DFMF,Marseille,Ligue 1,23,19,5,872,685,78.56,0,63,10,15.87,18,16,0
Marcus Tavernier,ENG,MFFW,Bournemouth,Premier League,23,16,2,511,350,68.49,4,77,3,3.9,16,13,0
Enzo Tchato,CMR,DF,Montpellier,Ligue 1,20,16,1,465,335,72.04,1,36,5,13.89,14,15,0
Aurélien Tchouaméni,FRA,MF,Real Madrid,La Liga,23,16,0,832,773,92.91,2,5,0,0.0,18,27,0
Mathys Tel,FRA,FW,Bayern Munich,Bundesliga,17,12,3,118,97,82.2,0,1,1,100.0,0,8,1
Semir Telalovic,GER,MF,M'Gladbach,Bundesliga,23,1,0,0,0,,0,0,0,,0,0,1
Filippo Terracciano,ITA,DFMF,Hellas Verona,Serie A,20,12,0,208,143,68.75,0,16,2,12.5,7,13,1
Ramón Terrats,ESP,MF,Girona,La Liga,22,8,0,94,76,80.85,0,2,0,0.0,2,0,1
Aleksa Terzi?,SRB,DF,Fiorentina,Serie A,23,11,0,304,253,83.22,0,30,11,36.67,4,2,1
Tetê,BRA,FW,Leicester City,Premier League,22,2,1,52,39,75.0,0,3,0,0.0,0,1,1
Tetê,BRA,FWMF,Lyon,Ligue 1,22,17,6,499,378,75.75,2,45,3,6.67,10,4,0
Arthur Theate,BEL,DF,Rennes,Ligue 1,22,22,2,1604,1444,90.02,0,0,0,,14,39,0
Malick Thiaw,GER,DF,Milan,Serie A,21,6,0,160,125,78.12,0,0,0,,6,14,1
Malick Thiaw,GER,DF,Schalke 04,Bundesliga,21,3,0,123,108,87.8,0,0,0,,1,10,1
Jan Thielmann,GER,FW,Köln,Bundesliga,20,12,1,139,88,63.31,1,15,1,6.67,7,6,1
Luke Thomas,ENG,DF,Leicester City,Premier League,21,10,0,455,362,79.56,0,6,1,16.67,11,8,0
Kristian Thorstvedt,NOR,MF,Sassuolo,Serie A,23,19,1,349,266,76.22,1,7,1,14.29,6,23,1
Khéphren Thuram-Ulie,FRA,MF,Nice,Ligue 1,21,23,1,879,750,85.32,3,12,1,8.33,17,10,0
Alexis Tibidi,FRA,FW,Troyes,Ligue 1,19,1,0,18,14,77.78,0,0,0,,0,2,1
Jean-Clair Todibo,FRA,DF,Nice,Ligue 1,23,21,0,1296,1137,87.73,0,3,0,0.0,28,21,0
Umut Tohumcu,GER,MF,Hoffenheim,Bundesliga,18,2,0,33,29,87.88,0,0,0,,1,1,1
Tiago Tomás,POR,FWMF,Stuttgart,Bundesliga,20,15,2,199,120,60.3,2,15,3,20.0,4,3,1
Sandro Tonali,ITA,MF,Milan,Serie A,22,19,2,729,519,71.19,4,59,4,6.78,20,9,0
Pablo Torre,ESP,FW,Barcelona,La Liga,19,1,0,3,2,66.67,0,1,0,0.0,0,0,1
David Torres,ESP,DF,Valladolid,La Liga,19,2,0,80,60,75.0,0,1,0,0.0,1,2,1
Ferrán Torres,ESP,FW,Barcelona,La Liga,22,17,2,252,198,78.57,0,14,1,7.14,2,1,1
Nabil Touaizi,MAR,MF,Espanyol,La Liga,22,1,0,0,0,,0,0,0,,0,0,1
Souleymane Touré,FRA,DF,Marseille,Ligue 1,19,5,0,36,30,83.33,0,0,0,,1,1,1
Souleymane Touré,FRA,DF,Auxerre,Ligue 1,19,5,0,205,183,89.27,0,0,0,,0,6,1
Boubacar Traoré,MLI,MF,Wolves,Premier League,21,8,0,124,96,77.42,1,1,0,0.0,4,7,1
Mark Travers,IRL,GK,Bournemouth,Premier League,23,11,0,324,244,75.31,0,0,0,,0,3,1
Adrien Truffert,FRA,DF,Rennes,Ligue 1,21,22,0,1117,893,79.95,6,24,7,29.17,25,29,0
Frank Tsadjout,ITA,FWMF,Cremonese,Serie A,23,7,0,57,37,64.91,1,1,0,0.0,3,11,1
Theocharis Tsingaras,GRE,MF,Toulouse,Ligue 1,22,1,0,4,3,75.0,0,0,0,,0,0,1
Beñat Turrientes,ESP,MFFW,Real Sociedad,La Liga,21,6,0,46,39,84.78,0,4,0,0.0,3,0,1
Tuta,BRA,DF,Eint Frankfurt,Bundesliga,23,18,1,1027,820,79.84,0,3,0,0.0,14,24,0
Iyenoma Udogie,ITA,DF,Udinese,Serie A,20,17,2,618,507,82.04,2,15,2,13.33,26,8,0
Chimuanya Ugochukwu,FRA,MF,Rennes,Ligue 1,18,14,0,439,377,85.88,0,2,0,0.0,12,11,0
Lauren Ulrich,GER,MF,Stuttgart,Bundesliga,18,1,0,3,3,100.0,0,1,0,0.0,1,0,1
Oscar Ureña,ESP,MF,Girona,La Liga,20,3,0,22,15,68.18,0,4,0,0.0,2,0,1
Josha Vagnoman,GER,DFMF,Stuttgart,Bundesliga,22,11,0,209,152,72.73,0,11,1,9.09,4,11,1
Diego Valencia,CHI,MFFW,Salernitana,Serie A,23,10,0,59,43,72.88,0,3,1,33.33,4,2,1
Valery,ESP,MFDF,Girona,La Liga,23,15,0,210,183,87.14,2,13,2,15.38,3,3,1
Yan Valery,TUN,DF,Southampton,Premier League,23,1,0,23,15,65.22,0,1,0,0.0,0,1,1
Yan Valery,TUN,DF,Angers,Ligue 1,23,14,0,523,366,69.98,0,32,6,18.75,16,20,0
Enrique Valiente,ESP,DF,Sevilla,La Liga,20,6,1,211,177,83.89,1,0,0,,1,9,1
Vanderson,BRA,DF,Monaco,Ligue 1,21,20,0,884,698,78.96,3,55,9,16.36,27,16,0
Jesus Vazquez,ESP,DFMF,Valencia,La Liga,20,6,0,99,79,79.8,0,6,0,0.0,4,0,1
Gabriel Veiga,ESP,MF,Celta Vigo,La Liga,20,19,6,396,298,75.25,2,17,2,11.76,8,9,1
Renato Veiga,POR,DF,Augsburg,Bundesliga,19,1,0,25,16,64.0,0,1,0,0.0,1,1,1
Mickey van de Ven,NED,DF,Wolfsburg,Bundesliga,21,20,1,1062,928,87.38,1,9,0,0.0,20,23,0
Unai Vencedor Paris,ESP,MF,Athletic Club,La Liga,22,6,0,89,79,88.76,0,2,0,0.0,1,1,1
Clément Vidal,FRA,DFMF,Ajaccio,Ligue 1,22,13,0,380,295,77.63,0,2,1,50.0,7,27,1
Gabriel Vidovic,CRO,FW,Bayern Munich,Bundesliga,19,1,0,14,11,78.57,1,0,0,,0,0,1
Fabio Vieira,POR,MFFW,Arsenal,Premier League,22,12,1,144,115,79.86,1,9,1,11.11,2,1,1
Emanuel Vignato,ITA,MFFW,Bologna,Serie A,22,8,0,99,79,79.8,1,2,1,50.0,4,2,1
Emanuel Vignato,ITA,MF,Empoli,Serie A,22,1,1,5,4,80.0,0,0,0,,0,0,1
Samuele Vignato,ITA,FWMF,Monza,Serie A,18,3,0,13,11,84.62,0,1,1,100.0,0,0,1
Rúben Vinagre,POR,DFMF,Everton,Premier League,23,2,0,23,14,60.87,0,2,0,0.0,2,0,1
Alan Virginius,FRA,FW,Lille,Ligue 1,20,10,1,50,38,76.0,0,2,0,0.0,0,1,1
Mattia Viti,ITA,DF,Nice,Ligue 1,21,8,1,361,303,83.93,0,0,0,,2,13,1
Vitinha,POR,FW,Marseille,Ligue 1,22,2,0,20,17,85.0,0,0,0,,2,0,1
Vitinha,POR,MF,Paris S-G,Ligue 1,22,21,0,1171,1080,92.23,0,3,0,0.0,15,3,0
Daniel Vivian,ESP,DF,Athletic Club,La Liga,23,15,1,708,575,81.21,0,4,0,0.0,17,23,0
Duan Vlahovi?,SRB,FW,Juventus,Serie A,23,12,8,197,140,71.07,2,4,1,25.0,4,19,1
Joel Voelkerling Persson,SWE,FW,Lecce,Serie A,20,4,0,19,14,73.68,0,1,0,0.0,1,5,1
Cristian Volpato,ITA,MF,Roma,Serie A,19,5,1,88,68,77.27,1,9,2,22.22,2,1,1
Aster Vranckx,BEL,MF,Milan,Serie A,20,7,0,38,22,57.89,0,3,1,33.33,2,3,1
Aster Vranckx,BEL,MF,Wolfsburg,Bundesliga,20,1,0,3,2,66.67,0,0,0,,0,0,1
Robert Wagner,GER,MF,Freiburg,Bundesliga,19,2,0,8,5,62.5,0,0,0,,0,2,1
Sebastian Walukiewicz,POL,DF,Empoli,Serie A,22,4,0,76,66,86.84,0,0,0,,1,0,1
Paul Wanner,GER,MF,Bayern Munich,Bundesliga,17,2,0,8,6,75.0,0,0,0,,1,1,1
Timothy Weah,USA,DFFW,Lille,Ligue 1,22,13,0,338,271,80.18,2,18,6,33.33,5,5,1
Nelson Weiper,GER,MF,Mainz 05,Bundesliga,17,2,0,1,1,100.0,0,0,0,,0,0,1
Noah Weißhaupt,GER,MFFW,Freiburg,Bundesliga,21,9,0,31,16,51.61,0,6,0,0.0,1,3,1
Marcel Wenig,GER,MF,Eint Frankfurt,Bundesliga,18,1,0,0,0,,0,0,0,,0,0,1
Harvey White,ENG,MF,Tottenham,Premier League,21,1,0,4,2,50.0,0,2,1,50.0,0,1,1
Neco Williams,WAL,DF,Nott'ham Forest,Premier League,21,21,0,609,389,63.88,0,66,8,12.12,33,11,0
Nico Williams,ESP,FWMF,Athletic Club,La Liga,20,21,4,589,397,67.4,4,101,8,7.92,9,9,0
Joe Willock,ENG,MF,Newcastle Utd,Premier League,23,22,2,617,497,80.55,2,33,5,15.15,21,11,0
Patrick Wimmer,AUT,FWMF,Wolfsburg,Bundesliga,21,13,2,293,175,59.73,5,29,4,13.79,13,13,1
Frederik Winther,DEN,DF,Augsburg,Bundesliga,22,1,0,35,22,62.86,1,0,0,,2,6,1
Florian Wirtz,GER,FWMF,Leverkusen,Bundesliga,19,5,0,143,113,79.02,2,6,2,33.33,6,2,1
Hannes Wolf,AUT,FWMF,M'Gladbach,Bundesliga,23,8,1,45,33,73.33,1,0,0,,2,1,1
Jeong Woo-yeong,KOR,MFFW,Freiburg,Bundesliga,23,17,1,206,161,78.16,1,9,3,33.33,2,3,1
Christopher Wooh,CMR,DF,Rennes,Ligue 1,21,9,0,393,353,89.82,0,1,0,0.0,4,13,1
Christopher Wooh,CMR,MF,Lens,Ligue 1,21,1,0,0,0,,0,0,0,,0,0,1
Kelvin Yeboah,ITA,FWMF,Augsburg,Bundesliga,22,5,0,31,15,48.39,1,5,1,20.0,1,4,1
Gerard Yepes,ESP,MF,Sampdoria,Serie A,20,5,0,105,77,73.33,0,0,0,,3,5,1
Darlin Yongwa,CMR,FWDF,Lorient,Ligue 1,22,4,0,19,10,52.63,0,2,1,50.0,2,0,1
Leny Yoro,FRA,DFMF,Lille,Ligue 1,17,6,0,335,303,90.45,0,0,0,,4,9,1
Dan-Axel Zagadou,FRA,DF,Stuttgart,Bundesliga,23,7,0,375,310,82.67,0,0,0,,3,14,1
Warren Zaire-Emery,FRA,MF,Paris S-G,Ligue 1,16,11,2,166,147,88.55,0,0,0,,2,1,1
Rodrigo Zalazar,URU,MFFW,Schalke 04,Bundesliga,23,10,1,136,78,57.35,0,27,2,7.41,4,11,1
Nicola Zalewski,POL,DF,Roma,Serie A,21,18,0,631,477,75.59,1,36,4,11.11,11,3,0
Oliver Zandén,SWE,DFMF,Toulouse,Ligue 1,21,5,0,72,48,66.67,0,6,1,16.67,1,1,1
Nicolò Zaniolo,ITA,MFFW,Roma,Serie A,23,13,1,196,125,63.78,0,20,1,5.0,5,5,1
Alessandro Zanoli,ITA,DFMF,Sampdoria,Serie A,22,5,0,76,54,71.05,0,7,2,28.57,1,1,1
Alessandro Zanoli,ITA,DF,Napoli,Serie A,22,1,0,15,12,80.0,0,1,0,0.0,0,0,1
Aaron Zehnter,GER,DF,Augsburg,Bundesliga,18,1,0,0,0,,0,0,0,,0,0,1
Jordan Zemura,ZIM,DF,Bournemouth,Premier League,23,16,0,507,360,71.01,1,14,4,28.57,20,6,0
Alessio Zerbin,ITA,FW,Napoli,Serie A,23,4,0,17,10,58.82,0,0,0,,1,0,1
Nathan Zeze,FRA,DF,Nantes,Ligue 1,17,1,0,25,17,68.0,0,0,0,,2,1,1
Edon Zhegrova,KVX,FWDF,Lille,Ligue 1,23,12,1,298,232,77.85,2,33,5,15.15,9,0,1
David Zima,CZE,DF,Torino,Serie A,22,9,0,198,154,77.78,0,0,0,,5,15,1
Joshua Zirkzee,NED,FW,Bologna,Serie A,21,9,1,137,104,75.91,1,0,0,,1,8,1
Nadir Zortea,ITA,DFMF,Atalanta,Serie A,23,9,1,97,59,60.82,0,10,1,10.0,5,5,1
Nadir Zortea,ITA,DF,Sassuolo,Serie A,23,1,0,67,59,88.06,0,4,1,25.0,2,1,1
Petar Zovko,BIH,GK,Spezia,Serie A,20,1,0,37,23,62.16,0,0,0,,0,0,1
